Entity,Code,Year,"Indicator:Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%) - Sex:Both sexes"
Namibia,NAM,2016,59.7
Nauru,NRU,2016,68.4
Nepal,NPL,2016,36.7
Netherlands,NLD,2016,38.1
New Zealand,NZL,2016,42.9
Nicaragua,NIC,2016,38.7
Niger,NER,2016,32.2
Nigeria,NGA,2016,55
Niue,NIU,2016,72.7
North Korea,PRK,2016,33.5
North Macedonia,MKD,2016,45.8
Norway,NOR,2016,40.5
Oman,OMN,2016,28.6
Pakistan,PAK,2016,5.3
Panama,PAN,2016,44.5
Papua New Guinea,PNG,2016,60.7
Paraguay,PRY,2016,48.2
Peru,PER,2016,49.5
Philippines,PHL,2016,38
Poland,POL,2016,51.6
Portugal,PRT,2016,38.4
Qatar,QAT,2016,50.7
Romania,ROU,2016,51.7
Russia,RUS,2016,60.6
Rwanda,RWA,2016,54.6
Saint Kitts and Nevis,KNA,2016,51.1
Saint Lucia,LCA,2016,49.7
Saint Vincent and the Grenadines,VCT,2016,48.4
Samoa,WSM,2016,62.2
Sao Tome and Principe,STP,2016,43.6
Saudi Arabia,SAU,2016,2.9
Senegal,SEN,2016,32.9
Serbia,SRB,2016,48.4
Seychelles,SYC,2016,46.8
Sierra Leone,SLE,2016,41.4
Singapore,SGP,2016,42.9
Slovakia,SVK,2016,52.3
Slovenia,SVN,2016,52.6
Solomon Islands,SLB,2016,60.3
Somalia,SOM,2016,6.2
South Africa,ZAF,2016,59
South Korea,KOR,2016,47.7
Spain,ESP,2016,37.3
Sri Lanka,LKA,2016,31.7
Sudan,SDN,2016,18.1
Suriname,SUR,2016,44.4
Sweden,SWE,2016,38.3
Switzerland,CHE,2016,43.9
Syria,SYR,2016,2
Tajikistan,TJK,2016,40.6
Tanzania,TZA,2016,55.8
Thailand,THA,2016,38.4
Togo,TGO,2016,36.9
Tonga,TON,2016,59.8
Trinidad and Tobago,TTO,2016,50.7
Tunisia,TUN,2016,21.1
Turkey,TUR,2016,21.7
Turkmenistan,TKM,2016,45.8
Tuvalu,TUV,2016,61.1
Uganda,UGA,2016,56.9
Ukraine,UKR,2016,28.3
United Arab Emirates,ARE,2016,39
United Kingdom,GBR,2016,40.6
United States,USA,2016,36.4
Uruguay,URY,2016,32.9
Uzbekistan,UZB,2016,39.1
Vanuatu,VUT,2016,59.5
Venezuela,VEN,2016,39.5
Vietnam,VNM,2016,39.3
Yemen,YEM,2016,1.9
Zambia,ZMB,2016,49.3
Zimbabwe,ZWE,2016,50.6
